Unused Functions Summary for Review
================================================================================

Format: File | Function | Line | External Usage
--------------------------------------------------------------------------------
amilib/ami_args.py | get_input_help | 46 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_args.py, pyamihtml/pyamihtmlx/util.py
amilib/ami_args.py | get_indir_help | 49 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_args.py, pyamihtml/pyamihtmlx/util.py
amilib/ami_args.py | get_output_help | 52 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_args.py, pyamihtml/pyamihtmlx/util.py
amilib/ami_args.py | get_outdir_help | 55 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_args.py, pyamihtml/pyamihtmlx/util.py
amilib/ami_bib.py | read_metadata_json_create_write_html_table | 299 | None
amilib/ami_bib.py | is_chapter_or_tech_summary | 371 | pyamiimage/venv/lib/python3.12/site-packages/test/test_pdf.py, pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_bib.py, pyamihtml/test/test_pdf.py, pyamihtml/pyamihtmlx/ami_bib.py
amilib/ami_corpus.py | root_dir | 131 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_corpus.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/discovery.py, pyamiimage/venv/lib/python3.12/site-packages/sympy/testing/runtests.py, pyamiimage/venv/lib/python3.12/site-packages/fontTools/misc/filesystem/_zipfs.py, pyamiimage/venv/lib/python3.12/site-packages/pip/_vendor/distro/distro.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/config/setupcfg.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/config/pyprojecttoml.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/tests/config/test_expand.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/_distutils/tests/test_archive_util.py, pyamiimage/venv/lib/python3.12/site-packages/setuptools/_distutils/command/bdist_dumb.py, pyamiimage/venv/lib/python3.12/site-packages/webdriver_manager/core/driver_cache.py, pygetpapers/venv_p312/lib/python3.12/site-packages/jupyter_server/serverapp.py, pygetpapers/venv_p312/lib/python3.12/site-packages/jupyter_server/pytest_plugin.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/discovery.py, pygetpapers/venv_p312/lib/python3.12/site-packages/pip/_vendor/distro/distro.py, pygetpapers/venv_p312/lib/python3.12/site-packages/jupyter_server/services/kernels/kernelmanager.py, pygetpapers/venv_p312/lib/python3.12/site-packages/jupyter_server/services/contents/filemanager.py, pygetpapers/venv_p312/lib/python3.12/site-packages/jupyterlab/tests/test_app.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/config/setupcfg.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/config/pyprojecttoml.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/tests/config/test_expand.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/_distutils/tests/test_archive_util.py, pygetpapers/venv_p312/lib/python3.12/site-packages/setuptools/_distutils/command/bdist_dumb.py, pygetpapers/venv_p312/lib/python3.12/site-packages/webdriver_manager/core/driver_cache.py, pygetpapers/venv_p312/lib/python3.12/site-packages/pyarrow/tests/util.py, pygetpapers/venv_p312/lib/python3.12/site-packages/pyarrow/tests/test_fs.py
amilib/ami_corpus.py | get_datatables_from_eupmc_results | 159 | None
amilib/ami_corpus.py | make_globstr | 453 | pyamiimage/venv/lib/python3.12/site-packages/amilib/ami_corpus.py
